Powers test of 80 - started 15/04/2026 20:40:09

80^1: steps=9 even=8 odd=1 pct=88.9% peak=80 ms=0.014
80^2: steps=31 even=24 odd=7 pct=77.4% peak=6400 ms=0.019
80^3: steps=120 even=81 odd=39 pct=67.5% peak=512000 ms=0.044
80^4: steps=41 even=35 odd=6 pct=85.4% peak=40960000 ms=0.026
80^5: steps=143 even=100 odd=43 pct=69.9% peak=3276800000 ms=0.052
80^6: steps=170 even=119 odd=51 pct=70.0% peak=262144000000 ms=0.081
80^7: steps=166 even=119 odd=47 pct=71.7% peak=20971520000000 ms=0.061
80^8: steps=131 even=100 odd=31 pct=76.3% peak=1677721600000000 ms=0.046
80^9: steps=127 even=100 odd=27 pct=78.7% peak=134217728000000000 ms=0.093
80^10: steps=154 even=119 odd=35 pct=77.3% peak=10737418240000000000 ms=0.046
80^11: steps=380 even=260 odd=120 pct=68.4% peak=858993459200000000000 ms=0.102
80^12: steps=182 even=141 odd=41 pct=77.5% peak=68719476736000000000000 ms=0.055
80^13: steps=328 even=233 odd=95 pct=71.0% peak=5497558138880000000000000 ms=0.083
80^14: steps=236 even=179 odd=57 pct=75.8% peak=439804651110400000000000000 ms=0.100
80^15: steps=320 even=233 odd=87 pct=72.8% peak=35184372088832000000000000000 ms=0.086
80^16: steps=303 even=225 odd=78 pct=74.3% peak=2814749767106560000000000000000 ms=0.086
80^17: steps=286 even=217 odd=69 pct=75.9% peak=225179981368524800000000000000000 ms=0.098
80^18: steps=357 even=263 odd=94 pct=73.7% peak=18014398509481984000000000000000000 ms=0.135
80^19: steps=397 even=290 odd=107 pct=73.0% peak=1441151880758558720000000000000000000 ms=0.147
80^20: steps=530 even=374 odd=156 pct=70.6% peak=115292150460684697600000000000000000000 ms=0.120
80^21: steps=420 even=309 odd=111 pct=73.6% peak=9223372036854775808000000000000000000000 ms=0.159
80^22: steps=390 even=293 odd=97 pct=75.1% peak=737869762948382064640000000000000000000000 ms=0.112
80^23: steps=523 even=377 odd=146 pct=72.1% peak=59029581035870565171200000000000000000000000 ms=0.190
80^24: steps=338 even=266 odd=72 pct=78.7% peak=4722366482869645213696000000000000000000000000 ms=0.103
80^25: steps=639 even=453 odd=186 pct=70.9% peak=377789318629571617095680000000000000000000000000 ms=0.187
80^26: steps=511 even=377 odd=134 pct=73.8% peak=30223145490365729367654400000000000000000000000000 ms=0.113
80^27: steps=551 even=404 odd=147 pct=73.3% peak=2417851639229258349412352000000000000000000000000000 ms=0.160
