Powers test of 67 - started 15/04/2026 17:48:09

67^1: steps=27 even=19 odd=8 pct=70.4% peak=304 ms=0.033
67^2: steps=90 even=60 odd=30 pct=66.7% peak=25576 ms=0.051
67^3: steps=176 even=115 odd=61 pct=65.3% peak=2283928 ms=0.087
67^4: steps=244 even=159 odd=85 pct=65.2% peak=60453364 ms=0.113
67^5: steps=209 even=140 odd=69 pct=67.0% peak=6075562984 ms=0.160
67^6: steps=228 even=154 odd=74 pct=67.5% peak=305297039824 ms=0.181
67^7: steps=265 even=179 odd=86 pct=67.5% peak=27273202223956 ms=0.203
67^8: steps=147 even=109 odd=38 pct=74.1% peak=4167528634762576 ms=0.099
67^9: steps=347 even=234 odd=113 pct=67.4% peak=122429404783327264 ms=0.303
67^10: steps=384 even=259 odd=125 pct=67.4% peak=56124108124345926232 ms=0.236
67^11: steps=390 even=265 odd=125 pct=67.9% peak=2506876829554118035048 ms=0.291
67^12: steps=572 even=379 odd=193 pct=66.3% peak=24548156713898571433684 ms=0.322
67^13: steps=503 even=339 odd=164 pct=67.4% peak=2467089749746806429085144 ms=0.301
67^14: steps=491 even=334 odd=157 pct=68.0% peak=139467667415374150944219412 ms=0.312
67^15: steps=678 even=451 odd=227 pct=66.5% peak=11074765886613414060163200196 ms=0.503
67^16: steps=467 even=324 odd=143 pct=69.4% peak=494672876268732494687289608644 ms=0.323
67^17: steps=977 even=639 odd=338 pct=65.4% peak=75589340766139161025329613578352 ms=0.502
67^18: steps=859 even=569 odd=290 pct=66.2% peak=3747239788899949034598972652272352 ms=0.472
67^19: steps=909 even=602 odd=307 pct=66.2% peak=1809709603729059700494424721881102624 ms=0.406
67^20: steps=866 even=578 odd=288 pct=66.7% peak=9968212985109257017075430065807738804 ms=0.497
67^21: steps=1040 even=687 odd=353 pct=66.1% peak=1285208397074843102806791559957941051652 ms=0.451
67^22: steps=767 even=522 odd=245 pct=68.1% peak=50340721601424886593358056261087306922504 ms=0.324
67^23: steps=985 even=658 odd=327 pct=66.8% peak=4497104463060623202339986359323799418410036 ms=0.368
67^24: steps=1141 even=756 odd=385 pct=66.3% peak=572010607524140674666385296219927955711982484 ms=0.475
67^25: steps=1085 even=724 odd=361 pct=66.7% peak=20187501934679137555304198767004535589242640384 ms=0.386
67^26: steps=1117 even=746 odd=371 pct=66.8% peak=2282449437489659989846580973094450305058746028144 ms=0.380
67^27: steps=1790 even=1161 odd=629 pct=64.9% peak=244954858612736124501144773002849151916469480046212 ms=0.491
67^28: steps=961 even=655 odd=306 pct=68.2% peak=4047769096253267632363971155840390091618256166040724 ms=0.293
67^29: steps=1616 even=1059 odd=557 pct=65.5% peak=406800794173453397052579101161959204207634744687092664 ms=0.570
67^30: steps=1255 even=840 odd=415 pct=66.9% peak=20441739907216033201892099833388450011433645920526406244 ms=0.366
67^31: steps=1411 even=938 odd=473 pct=66.5% peak=3466791327389419130833388306118722444126574887834275208344 ms=0.431
